month,train_residual_variance,oos_2019_residual_variance,oos_2019_mean_forecast_var,oos_2019_variance_ratio,interpretation
1,12.134846064725107,10.793662185222994,11.334452149814195,0.9522879485092655,Normal
2,12.233016655573797,5.726306375320957,11.334452149814197,0.5052124531148889,Normal
3,12.46037357222547,10.401138398837881,13.621985127939205,0.7635552602024763,Normal
4,12.976768334259384,18.685138641492927,13.865301097410047,1.347618671258657,Elevated
5,18.545161393443525,8.06755922327255,14.529564512482972,0.5552512751735514,Normal
6,20.99613660145064,44.33364044162072,16.903835496988552,2.6226971061992908,CONFIRMED: Extreme Marine Fog Anomaly
7,14.290770049622537,11.774844057361964,17.353091469776338,0.6785444586556846,Normal
8,17.518010997433464,20.416944821552125,17.091906067008427,1.1945387917244548,CONFIRMED: Extreme Marine Fog Anomaly
9,26.29209822119612,33.21044631356444,21.68450180526406,1.5315291359611674,CONFIRMED: Extreme Marine Fog Anomaly
10,23.233930139390633,20.094278133641843,20.330774367493422,0.9883675737295227,Normal
11,10.110488895369738,24.517739678913134,20.407879315251055,1.2013859598136065,Elevated
12,8.598264072260061,4.742085425235229,11.334452149814195,0.4183780003264618,Normal
